0,3,6,9,12|1|-7,-4,-1|0-3=1,0-9=1,0-12=1,3-6=1,3-12=1,6-9=1,9-12=1
0,3,6,9,40|1|-41,-4,-1|0-3=1,0-9=1,0-40=1,3-6=1,6-9=1,6-40=1,9-40=1
0,3,6,37,40|1|-41,-38,-1|0-3=1,0-40=1,3-6=1,3-37=1,6-37=1,6-40=1,37-40=1
0,3,34,37,40|1|-41,-38,-35|0-3=1,0-34=1,0-40=1,3-34=1,3-37=1,34-37=1,37-40=1
0,4,10,15,20|0|5,44,54|0-4=0,0-15=0,0-20=0,4-15=0,4-20=0,10-15=0,15-20=0
0,4,10,15,28|0|5,44|0-4=0,0-15=0,0-28=0,4-15=0,4-28=0,10-15=0,10-28=0,15-28=0
0,4,10,23,28|0|5,44|0-4=0,0-23=0,0-28=0,4-23=0,4-28=0,10-23=0,10-28=0,23-28=0
0,4,19,24,37|0|38,81|0-4=0,0-19=0,0-24=0,4-19=0,4-24=0,19-24=0,19-37=0,24-37=0
0,4,19,32,37|0|38,81|0-4=0,0-19=0,0-32=0,4-19=0,4-32=0,19-32=0,19-37=0,32-37=0
0,4,27,32,37|0|38,71,81|0-4=0,0-27=0,0-32=0,4-27=0,4-32=0,27-32=0,32-37=0
0,5,10,15,20|0|44,49,54|0-5=0,0-15=0,0-20=0,5-10=0,5-20=0,10-15=0,15-20=0
0,5,10,15,25|0|44,49,59|0-5=0,0-15=0,0-25=0,5-10=0,5-25=0,10-15=0,10-25=0
0,5,10,15,28|0|44,49|0-5=0,0-15=0,0-28=0,5-10=0,5-28=0,10-15=0,10-28=0,15-28=0
0,5,10,15,30|0|44,49|0-5=0,0-15=0,0-30=0,5-10=0,5-30=0,10-15=0,10-30=0,15-30=0
0,5,10,15,33|0|44,49,77|0-5=0,0-15=0,5-10=0,5-33=0,10-15=0,10-33=0,15-33=0
0,5,10,15,38|0|44,49,82|0-5=0,0-15=0,0-38=0,5-10=0,10-15=0,10-38=0,15-38=0
0,5,10,16,20|0|11,44,54|0-5=0,0-16=0,0-20=0,5-10=0,5-16=0,5-20=0,16-20=0
0,5,10,16,23|0|11,44|0-5=0,0-16=0,0-23=0,5-10=0,5-16=0,5-23=0,10-23=0,16-23=0
0,5,10,20,25|0|44,54|0-5=0,0-20=0,0-25=0,5-10=0,5-20=0,5-25=0,10-25=0,20-25=0
0,5,10,20,30|0|44,54,64|0-5=0,0-20=0,0-30=0,5-10=0,5-20=0,5-30=0,10-30=0
0,5,10,20,33|0|44,54,77|0-5=0,0-20=0,5-10=0,5-20=0,5-33=0,10-33=0,20-33=0
0,5,10,20,38|0|44,54,82|0-5=0,0-20=0,0-38=0,5-10=0,5-20=0,10-38=0,20-38=0
0,5,10,23,28|0|44|0-5=0,0-23=0,0-28=0,5-10=0,5-23=0,5-28=0,10-23=0,10-28=0,23-28=0
0,5,10,23,30|0|44|0-5=0,0-23=0,0-30=0,5-10=0,5-23=0,5-30=0,10-23=0,10-30=0,23-30=0
0,5,10,23,33|0|44,67,77|0-5=0,0-23=0,5-10=0,5-23=0,5-33=0,10-23=0,10-33=0
0,5,10,23,38|0|44,82|0-5=0,0-23=0,0-38=0,5-10=0,5-23=0,10-23=0,10-38=0,23-38=0
0,5,10,25,30|0|44|0-5=0,0-25=0,0-30=0,5-10=0,5-25=0,5-30=0,10-25=0,10-30=0,25-30=0
0,5,10,25,38|0|44,82|0-5=0,0-25=0,0-38=0,5-10=0,5-25=0,10-25=0,10-38=0,25-38=0
0,5,10,28,33|0|44,77|0-5=0,0-28=0,5-10=0,5-28=0,5-33=0,10-28=0,10-33=0,28-33=0
0,5,10,28,38|0|44,72,82|0-5=0,0-28=0,0-38=0,5-10=0,5-28=0,10-28=0,10-38=0
0,5,10,30,37|0|38,44|0-5=0,0-30=0,5-10=0,5-30=0,5-37=0,10-30=0,10-37=0,30-37=0
0,5,10,33,37|0|38,44,77|0-5=0,5-10=0,5-33=0,5-37=0,10-33=0,10-37=0,33-37=0
0,5,10,33,38|0|44,77,82|0-5=0,0-38=0,5-10=0,5-33=0,10-33=0,10-38=0,33-38=0
0,5,11,15,30|0|6,49|0-5=0,0-11=0,0-15=0,0-30=0,5-30=0,11-15=0,11-30=0,15-30=0
0,5,11,15,38|0|6,49,82|0-5=0,0-11=0,0-15=0,0-38=0,11-15=0,11-38=0,15-38=0
0,5,11,18,24|0|6,19|0-5=0,0-11=0,0-18=0,0-24=0,5-18=0,5-24=0,11-18=0,11-24=0
0,5,11,18,38|0|6,82|0-5=0,0-11=0,0-18=0,0-38=0,5-18=0,11-18=0,11-38=0,18-38=0
0,5,11,24,30|0|6,25|0-5=0,0-11=0,0-24=0,0-30=0,5-24=0,5-30=0,11-24=0,11-30=0
0,5,15,20,25|0|49,59|0-5=0,0-15=0,0-20=0,0-25=0,5-20=0,5-25=0,15-20=0,20-25=0
0,5,15,20,30|0|49,64|0-5=0,0-15=0,0-20=0,0-30=0,5-20=0,5-30=0,15-20=0,15-30=0
0,5,15,20,33|0|49,77|0-5=0,0-15=0,0-20=0,5-20=0,5-33=0,15-20=0,15-33=0,20-33=0
0,5,15,20,38|0|49,82|0-5=0,0-15=0,0-20=0,0-38=0,5-20=0,15-20=0,15-38=0,20-38=0
0,5,15,25,30|0|49,59|0-5=0,0-15=0,0-25=0,0-30=0,5-25=0,5-30=0,15-30=0,25-30=0
0,5,15,25,38|0|49,59,82|0-5=0,0-15=0,0-25=0,0-38=0,5-25=0,15-38=0,25-38=0
0,5,15,28,33|0|49,77|0-5=0,0-15=0,0-28=0,5-28=0,5-33=0,15-28=0,15-33=0,28-33=0
0,5,15,28,38|0|49,72,82|0-5=0,0-15=0,0-28=0,0-38=0,5-28=0,15-28=0,15-38=0
0,5,15,33,38|0|49,77,82|0-5=0,0-15=0,0-38=0,5-33=0,15-33=0,15-38=0,33-38=0
0,5,18,23,28|0|62|0-5=0,0-18=0,0-23=0,0-28=0,5-18=0,5-23=0,5-28=0,18-23=0,23-28=0
0,5,18,23,33|0|67,77|0-5=0,0-18=0,0-23=0,5-18=0,5-23=0,5-33=0,18-23=0,18-33=0
0,5,18,23,38|0|82|0-5=0,0-18=0,0-23=0,0-38=0,5-18=0,5-23=0,18-23=0,18-38=0,23-38=0
0,5,18,24,28|0|19,62|0-5=0,0-18=0,0-24=0,0-28=0,5-18=0,5-24=0,5-28=0,24-28=0
0,5,18,24,37|0|19,38|0-5=0,0-18=0,0-24=0,5-18=0,5-24=0,5-37=0,18-37=0,24-37=0
0,5,18,25,38|0|82|0-5=0,0-18=0,0-25=0,0-38=0,5-18=0,5-25=0,18-25=0,18-38=0,25-38=0
0,5,18,28,33|0|62,77|0-5=0,0-18=0,0-28=0,5-18=0,5-28=0,5-33=0,18-33=0,28-33=0
0,5,18,28,38|0|62,72,82|0-5=0,0-18=0,0-28=0,0-38=0,5-18=0,5-28=0,18-38=0
